# Logfile created on 2020-01-15 03:34:49 +0000 by logger.rb/56438
[2020-01-15T03:34:50+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-01-15T03:34:50+00:00] INFO: *** Chef 13.6.4 ***
[2020-01-15T03:34:50+00:00] INFO: Platform: x86_64-linux
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/resources/sysctl.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/logging_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/recipes/bin.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/recipes/disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/recipes/enable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/formatters/gitlab.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/metadata.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/gitlab-psql-rc.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_hba.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/omnibus_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql-runtime.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/redhat_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/resources/env_dir.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/shell_out_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/resources/extension.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/secrets_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/postgresql/resources/schema.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config_mash.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/registry/recipes/disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/resources/templatesymlink.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/registry/metadata.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/registry/templates/default/registry-config.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/registry/templates/default/sv-registry-log-config.erb in the cache.
